type_ind,quotedate_ind,type,quotedate_jul,breaks,rates,quotedate_ymd
pwcf,19900928,pwcf,[33143.],"[33149. 33156. 33163. 33170. 33177. 33195. 33235. 33327. 33510. 33875.
 34605. 36065. 38985. 41905. 51905.]","[0.0623226 0.0709722 0.0764355 0.075354  0.0708083 0.0799744 0.07442
 0.0771112 0.0809973 0.0818035 0.0880024 0.0927018 0.0990593 0.0874833
 0.0681128]",19900928
pwcf,19901031,pwcf,[33176.],"[33184. 33191. 33199. 33205. 33212. 33225. 33265. 33357. 33541. 33906.
 34636. 36096. 39016. 41936. 51936.]","[0.0597175 0.0694597 0.0777247 0.0599672 0.0749061 0.0864834 0.0745061
 0.0743014 0.0768557 0.0798759 0.0853306 0.0916674 0.0978527 0.0864222
 0.06371  ]",19901031
pwcf,19901130,pwcf,[33206.],"[33212. 33219. 33226. 33233. 33240. 33256. 33296. 33388. 33571. 33936.
 34666. 36126. 39046. 41966. 51966.]","[0.0628461 0.0557272 0.0807651 0.0826631 0.0556465 0.0714386 0.0786384
 0.0740923 0.0744462 0.0772515 0.0817618 0.0874495 0.0920539 0.0839126
 0.0620346]",19901130
pwcf,19901231,pwcf,[33237.],"[33247. 33254. 33261. 33268. 33275. 33286. 33326. 33418. 33602. 33967.
 34697. 36157. 39077. 41997. 51997.]","[0.0349941 0.0755884 0.0649833 0.0542437 0.0863358 0.0771685 0.0705846
 0.0677662 0.0723109 0.0744411 0.080526  0.086468  0.0923536 0.0816149
 0.0601966]",19901231
pwcf,19910131,pwcf,[33268.],"[33275. 33282. 33289. 33296. 33303. 33317. 33357. 33449. 33633. 33998.
 34728. 36188. 39108. 42028. 52028.]","[0.0573099 0.0582096 0.0669822 0.0417526 0.0740891 0.0690581 0.0664035
 0.0645596 0.0692884 0.074489  0.080127  0.0860591 0.0923848 0.0802737
 0.0612724]",19910131
pwcf,19910228,pwcf,[33296.],"[33303. 33310. 33317. 33324. 33331. 33348. 33388. 33480. 33662. 34027.
 34757. 36217. 39137. 42057. 52057.]","[0.0463773 0.0710987 0.0559745 0.0445532 0.0719671 0.0662229 0.065979
 0.0627527 0.0679791 0.0753179 0.0806313 0.0862379 0.0928389 0.0814571
 0.0561681]",19910228
pwcf,19910328,pwcf,[33324.],"[33331. 33338. 33345. 33352. 33359. 33378. 33418. 33510. 33693. 34058.
 34788. 36248. 39168. 42088. 52088.]","[0.0580409 0.0562243 0.0600537 0.0628519 0.0615611 0.0601312 0.0599578
 0.0614942 0.0682211 0.0767682 0.0827422 0.0865114 0.0920389 0.0829205
 0.059141 ]",19910328
pwcf,19910430,pwcf,[33357.],"[33366. 33373. 33380. 33387. 33394. 33409. 33449. 33541. 33723. 34088.
 34818. 36278. 39198. 42118. 52118.]","[0.057319  0.052617  0.0567314 0.0522499 0.0617092 0.0510392 0.0603313
 0.0586644 0.0668308 0.07505   0.0816098 0.0876315 0.090926  0.0815022
 0.0623153]",19910430
pwcf,19910531,pwcf,[33388.],"[33394. 33401. 33408. 33415. 33423. 33439. 33479. 33571. 33754. 34119.
 34849. 36309. 39229. 42149. 52149.]","[0.0559487 0.0525168 0.0634525 0.0056601 0.091381  0.0564385 0.0593064
 0.0598858 0.066847  0.0734109 0.0824427 0.0882312 0.0924388 0.0831764
 0.0615024]",19910531
pwcf,19910628,pwcf,[33416.],"[33423. 33429. 33436. 33443. 33450. 33470. 33510. 33602. 33784. 34149.
 34879. 36339. 39259. 42179. 52179.]","[0.053034  0.0492469 0.0531458 0.0528419 0.0538218 0.0616538 0.0589419
 0.061084  0.0696421 0.0740001 0.0867142 0.0896669 0.0921837 0.0877449
 0.0617227]",19910628
pwcf,19910731,pwcf,[33449.],"[33457. 33464. 33471. 33478. 33485. 33501. 33541. 33633. 33815. 34180.
 34910. 36370. 39290. 42210. 52210.]","[0.0562705 0.0549927 0.0567539 0.0548416 0.0580441 0.0573045 0.0577126
 0.0601757 0.0660222 0.0733575 0.0841733 0.0893934 0.0921285 0.0853112
 0.0645714]",19910731
pwcf,19910830,pwcf,[33479.],"[33485. 33492. 33499. 33506. 33513. 33530. 33570. 33662. 33846. 34211.
 34941. 36401. 39321. 42241. 52241.]","[0.0533426 0.0524253 0.0585988 0.0501356 0.0542761 0.054125  0.0565294
 0.0564238 0.0600794 0.0677618 0.0804299 0.0872061 0.0895642 0.0826111
 0.064803 ]",19910830
pwcf,19910930,pwcf,[33510.],"[33520. 33527. 33534. 33541. 33548. 33561. 33601. 33693. 33876. 34241.
 34971. 36431. 39351. 42271. 52271.]","[0.0502332 0.048522  0.0539027 0.0495262 0.0574671 0.0550043 0.0532254
 0.0535282 0.0567631 0.0648691 0.0757982 0.0831946 0.0890627 0.0809837
 0.0646167]",19910930
