ctype,quotedate,0.0833YR,0.25YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR,Max,Min
pwcf,19600831.0,1.7462429922741756,2.348555127386735,2.744202175574268,2.8776389126608586,2.9395549581851355,3.1016538324656957,3.345663074158222,3.467409220407032,3.5866190987888555,3.815200306069935,3.8328123232433793,3.8328123232433793,1.7462429922741756
pwcf,19600930.0,2.4239358888640683,2.3957163821987355,2.9849963182551944,2.8958238169513626,2.893721846916991,3.0781366700090644,3.3620339158433725,3.486747070023908,3.5939234706076864,3.784271753138988,3.8319805812874175,3.8319805812874175,2.3957163821987355
pwcf,19601031.0,1.5192324461104154,2.243161594793708,2.6060874118959703,2.8203184774099177,2.943563866555217,3.1308576583427303,3.4042397192474825,3.555057328658813,3.6861120177373112,3.857172764246073,3.881712336526821,3.881712336526821,1.5192324461104154
pwcf,19601130.0,1.516816786710372,2.3922893188574474,2.7677681805091674,2.9915592371185995,3.1360261554890343,3.334696999711819,3.617358576897011,3.768907675040868,3.8930063716413983,4.019429834630665,4.010631650669088,4.019429834630665,1.516816786710372
pwcf,19601230.0,2.0155069854247,2.2356033570654272,2.461522158617999,2.570705632078626,2.688372051986479,2.886288312340604,3.1808277381836545,3.355815244313457,3.5178893450251514,3.760388042079089,3.806723848156597,3.806723848156597,2.0155069854247
pwcf,19610131.0,2.0061112136725296,2.2502498453508744,2.5059932834555925,2.705612965535164,2.9245511357877128,3.151012432882893,3.4467926743198936,3.59431793521832,3.720514004209529,3.900010628158257,3.925381409380063,3.925381409380063,2.0061112136725296
pwcf,19610228.0,2.472750429047965,2.594763023901168,2.800914199006483,2.926928716447754,3.0442143613006003,3.191231473428384,3.3937839676630914,3.5010983435336858,3.602051367782645,3.775913527185853,3.800944639341624,3.800944639341624,2.472750429047965
pwcf,19610330.0,2.15486427202397,2.4255264064107034,2.612716688230325,2.812450852179585,2.932461036379357,3.1000176535594703,3.3501522323741297,3.507198025701851,3.6478343310901247,3.8220630036451935,3.83997477046297,3.83997477046297,2.15486427202397
pwcf,19610428.0,1.7882331083121683,2.247444143913319,2.445329548730719,2.7264252968187948,2.9203190057813315,3.060325507842864,3.2601106681547574,3.424764405840297,3.5777012463059013,3.7456613665783034,3.784039480768024,3.784039480768024,1.7882331083121683
pwcf,19610531.0,2.2967293157680277,2.369433815133728,2.6434139993982075,2.8224620453521405,3.059967928144573,3.213227172017078,3.4046315614033844,3.5439705346004766,3.669899102920949,3.7999380727712513,3.80082524998194,3.80082524998194,2.2967293157680277
