ctype,quotedate,0.0833YR,0.25YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR,Max,Min
pwcf,20121031.0,-5606.705092107169,-1828.1975190566852,-929.1496860951106,-460.625235241685,-230.13327262084252,-153.19936174722838,-91.31731652421416,-64.64076986432514,-44.25681515148276,-20.25553104219234,-12.241002647915948,-12.241002647915948,-5606.705092107169
pwcf,20121130.0,-5425.866423652097,-1868.8583918135005,-924.0618583693134,-460.6280917074385,-230.14697085371924,-153.2642139024795,-91.41484132706192,-64.7463787023533,-44.36116253100083,-20.317542706805614,-12.286037834554628,-12.286037834554628,-5425.866423652097
pwcf,20121231.0,-5425.905009135969,-1868.8923990357227,-929.1931166475968,-460.64965554305496,-230.16779277152744,-153.22296851435163,-91.31449474436748,-64.61405508732983,-44.19885316626918,-20.16083185807188,-12.143355120308026,-12.143355120308026,-5425.905009135969
pwcf,20130131.0,-6007.247084757681,-1889.862641384439,-929.2001197967684,-460.6649597896303,-230.16542989481516,-153.1642232632101,-91.16343944316267,-64.38994989171167,-43.943139288941694,-19.90999993473169,-11.91283151348134,-11.91283151348134,-6007.247084757681
pwcf,20130228.0,-5425.870406232743,-1828.196600143642,-914.0316500718208,-460.6543752690823,-230.18938263454115,-153.09078047738598,-91.2731608998987,-64.49766839390499,-44.06819406440719,-19.97843439742848,-11.975256656312409,-11.975256656312409,-5425.870406232743
pwcf,20130328.0,-5425.896337200485,-1828.2348211219028,-914.0425208870384,-460.6607728581234,-230.17098236056853,-153.07818425475824,-91.2812839995701,-64.52317508534026,-44.09189825663062,-19.9489916814805,-11.947048937958844,-11.947048937958844,-5425.896337200485
pwcf,20130430.0,-5425.914278813389,-1828.259983513207,-914.0703917566036,-460.69959740606856,-230.20365870303428,-153.1397911251962,-91.37544602038062,-64.64101040798398,-44.26338273636775,-20.203721643150587,-12.19221698760747,-12.19221698760747,-5425.914278813389
pwcf,20130531.0,-5606.7794944405005,-1828.269066991468,-919.0746671213936,-460.6731234608631,-230.15379673043157,-152.93370190986772,-91.02811030296552,-64.22119097114394,-43.80238152607202,-19.75178138442369,-11.801604785362327,-11.801604785362327,-5606.7794944405005
pwcf,20130628.0,-5606.788472773836,-1828.270651991468,-919.0593279957106,-460.6453089951096,-230.12495031947267,-152.71368842446628,-90.6614911572919,-63.79527110020143,-43.41381868927027,-19.50885459866051,-11.602780743197505,-11.602780743197505,-5606.788472773836
pwcf,20130731.0,-5425.911745265001,-1828.273912861033,-914.0904764305166,-460.68760557045215,-230.1820627852261,-152.77342251205752,-90.66297188018348,-63.72935210137467,-43.29948857426479,-19.35499024410884,-11.451753125236383,-11.451753125236383,-5425.911745265001
