ctype,quotedate,0.0833YR,0.25YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR,Max,Min
pwcf,19300930.0,3.0242351133999783,3.016661289824031,2.9723789212963063,2.9805444988156715,2.985018316772508,3.078043657842064,3.152312684593824,3.185277579029925,3.209464517565662,3.2368696948030946,2.7773141837926616,3.2368696948030946,2.7773141837926616
pwcf,19301031.0,2.619875177847791,2.6285384219491563,2.5769124712151523,2.5982675015007213,2.6028377251090755,2.8453614463038184,3.038589585893642,3.1223210410160798,3.1843889794601865,3.255378855520182,2.803228276672753,3.255378855520182,2.5769124712151523
pwcf,19301129.0,2.3008816051019747,2.271089757584715,2.264678137702757,2.283445782083946,2.2865735201312445,2.6465290347981383,2.93286034686764,3.0562237205176555,3.1478261765099464,3.2527405763312647,2.8081433822128594,3.2527405763312647,2.264678137702757
pwcf,19301231.0,2.198269036269464,2.1702864822394217,2.1523788039370726,2.170215848181765,2.1749593230545616,2.600518592567077,2.938725259875336,3.0841479131030227,3.1921512573049906,3.315814911794596,2.869359890050875,3.315814911794596,2.1523788039370726
pwcf,19310131.0,2.4895295003445432,2.484311668980932,2.476469880617586,2.4969925807070603,2.501915050425644,2.8625303501022112,3.1493540241373505,3.272973287458252,3.364696381730055,3.4695555161747964,3.00612880230295,3.4695555161747964,2.476469880617586
pwcf,19310228.0,2.078331468561905,2.074714249449612,2.0922518841151,2.0808811518782906,2.0780678493455964,2.5859048771332294,2.990892226226301,3.162050969497612,3.290525118166111,3.4374780187841854,2.985854516896901,3.4374780187841854,2.074714249449612
pwcf,19310331.0,1.9693425949782095,1.9660768296611768,1.9830503289197123,1.983050328919701,1.9803679787020465,2.506434223207911,2.925774775370355,3.10303829866287,3.236055033283556,3.3882646693446405,2.941874715498145,3.3882646693446405,1.9660768296611768
pwcf,19310430.0,1.6540021440421535,1.6425610390927263,1.6665270167211728,1.657469906928899,1.6552242901181138,2.291158503711475,2.7969682665151936,3.0108426248985096,3.171076008906884,3.35444176475888,2.917456500321855,3.35444176475888,1.6425610390927263
pwcf,19310529.0,1.1093503964710538,1.1083195308267302,1.118997529096866,1.1129160518263743,1.1114041073760323,1.927794151674003,2.580338867469298,2.85617217881577,3.062399131354073,3.298334743469299,2.877693674984909,3.298334743469299,1.1083195308267302
pwcf,19310630.0,3.1179906002272304,3.1447096091789084,3.149667166736972,3.132550095639073,3.12833723102602,3.1269333530299086,3.127418262528799,3.126513893106996,3.126602275802476,3.1262317437165037,2.6714391201881327,3.149667166736972,2.6714391201881327
