ctype,quotedate,0.0833YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR
pwcf,19760630.0,0.4831292273285603,0.5597001067711771,0.6069685661626245,0.6592239073313744,0.6802988055605308,0.6993673768306286,0.7085787220743045,0.7181518089582006,0.7353264132213155,0.6879323371571378
pwcf,19760730.0,0.4450955139383428,0.4946823785365151,0.5272188912516906,0.5698510908976662,0.594754933292152,0.6195156693731496,0.6330409909334866,0.6434942418406475,0.6596830215705562,0.6168211315692229
pwcf,19760831.0,0.4587503459764663,0.5010405714204191,0.5352508785851917,0.5892162967224168,0.6182581587730995,0.6513468911949927,0.6718678711646442,0.6862025392581961,0.7041220717968866,0.6576546673112693
pwcf,19760930.0,0.4017189627660622,0.4499372228502496,0.4841558094646814,0.535443384487233,0.5602100345822647,0.5929906891086967,0.6155142146258896,0.6327121163510974,0.6492128017210108,0.6021462757083595
pwcf,19761029.0,0.4161152850930216,0.437166113916354,0.4570266396392464,0.4992909438453763,0.5273810623473318,0.5613641529103708,0.5834283646245719,0.60003736152201,0.6200374921736529,0.5781792120369778
pwcf,19761130.0,0.4291437882641302,0.4574755633232508,0.4814162004657341,0.5301798012568915,0.5590877904382063,0.5987714550552248,0.6267598986649858,0.6519376396569632,0.6809658491705006,0.6346010896915555
pwcf,19761231.0,0.3814653724817596,0.4006672077274231,0.4185673790946476,0.4611092452762033,0.4853364029685725,0.5257404752599504,0.5570639326406113,0.5955891067422225,0.6384904172021422,0.5924850404499971
pwcf,19770131.0,0.3705309352398434,0.3934816335211977,0.4127753897838149,0.4558320937448901,0.4889863579111031,0.5280264544341495,0.5529903856467788,0.5783930304396945,0.6140574729680104,0.5731810978625074
pwcf,19770228.0,0.3537262751712067,0.393309905978878,0.4309658047080056,0.4728688880069054,0.5035865458625111,0.533133613156167,0.5488526359772594,0.5660147165918783,0.5883818719940592,0.5473066232713375
pwcf,19770331.0,0.3830733202729863,0.4363231336170114,0.4711253030001083,0.5150478213382437,0.5554738428275696,0.5935390481094149,0.614468958265757,0.6334619945045139,0.6601056951949902,0.6627414936615894
pwcf,19770429.0,0.3630294075421814,0.3932770307699007,0.4310686248417017,0.474240970022155,0.5140991825170804,0.5511714533850354,0.5712654847449539,0.5893071963938956,0.6149624611007987,0.6164315048283742
pwcf,19770531.0,0.391812132769509,0.445989471223096,0.4867196812928132,0.5286754402209937,0.5691034329027733,0.6090721901149898,0.6321094459816878,0.6519937318483882,0.6771022145618311,0.6808449834236452
pwcf,19770630.0,0.4033516703907613,0.4462137499851248,0.4739385077107805,0.5032039915641384,0.533303588284495,0.5659517079288356,0.5864605703897574,0.6064391817949044,0.6320920212762093,0.6336187080392852
pwcf,19770729.0,0.3974119627252248,0.431684482305017,0.4493119944546597,0.4775864252854367,0.5038667667385699,0.533492406109981,0.5526978510612901,0.5731723471823713,0.6016852921591376,0.6103415449560057
pwcf,19770831.0,0.4945522714905337,0.537438038456739,0.5579896393678174,0.5823759933103911,0.6086028387504827,0.6361869081474403,0.6532259803703422,0.6700699278511468,0.6982873050578542,0.6990199375494388
pwcf,19770930.0,0.4612582049715596,0.496274584136458,0.5173040261489792,0.5337202837836674,0.5520582896130666,0.572127369251052,0.5850882717441497,0.5990050510117806,0.6223033078176954,0.6322578550296054
pwcf,19771031.0,0.5138440368395836,0.5460301170233439,0.5587947603502119,0.5754333500976871,0.5877688765381084,0.6038917449990411,0.6157806532412158,0.62776687541235,0.6521622061272714,0.6522831911563776
pwcf,19771130.0,0.4938226603882878,0.5449042225120548,0.5663125522512358,0.5855243677202804,0.5969555361942991,0.6083044798204096,0.6153351424717846,0.622800518315203,0.6434502003555664,0.6412763953365319
pwcf,19771230.0,0.4758928259922523,0.5469932062037941,0.5606925336162805,0.5793542702434484,0.5900002389921166,0.6014252894597893,0.6089728323927401,0.6188763884068083,0.6404130866728863,0.6386951037922417
pwcf,19780131.0,0.5190551287080902,0.5860275428697603,0.6103995183535105,0.628067469680893,0.646745903060908,0.6636086802275676,0.6728507282654617,0.6826043755165712,0.7017856926972099,0.7048040144249201
